race,age,priors_count,juv_fel_count,c_charge_degree,loan_approved
African-American,34,0,0,1,0
African-American,24,4,0,1,0
African-American,23,1,0,1,1
Caucasian,41,14,0,1,0
Caucasian,39,0,0,0,1
Caucasian,21,1,0,1,0
Caucasian,27,0,0,1,1
African-American,23,3,0,0,0
Caucasian,37,0,0,0,1
African-American,41,0,0,1,1
Caucasian,47,1,0,1,0
African-American,31,7,0,1,0
African-American,25,3,0,1,1
Caucasian,31,6,0,1,0
Caucasian,31,5,0,1,0
African-American,64,13,0,1,0
African-American,21,1,0,1,0
Caucasian,27,0,0,0,0
Caucasian,21,0,0,1,1
Caucasian,43,1,0,0,1
African-American,27,8,0,1,0
Caucasian,36,3,0,1,1
African-American,26,5,0,1,0
African-American,33,0,0,1,0
Caucasian,30,9,0,1,0
African-American,32,4,0,1,0
Caucasian,55,0,0,1,1
Caucasian,26,6,0,0,1
Caucasian,33,4,0,0,0
Caucasian,24,1,0,0,0
African-American,34,21,2,1,0
Caucasian,29,0,0,0,1
African-American,21,2,0,1,1
African-American,51,2,0,0,1
Caucasian,29,2,0,0,0
African-American,51,7,0,1,1
African-American,29,0,0,1,0
Caucasian,25,9,0,0,0
African-American,35,13,1,1,0
Caucasian,49,0,0,0,1
African-American,34,4,0,0,0
African-American,29,0,0,1,1
Caucasian,29,1,0,1,0
Caucasian,48,20,0,1,0
African-American,31,15,0,1,1
African-American,24,2,0,1,0
African-American,49,4,0,0,1
Caucasian,53,8,0,1,1
African-American,35,5,0,1,1
African-American,63,10,0,0,0
African-American,27,15,1,1,0
Caucasian,38,4,0,0,0
African-American,22,1,0,1,0
African-American,22,2,0,1,0
African-American,29,4,0,1,0
African-American,27,6,0,1,0
African-American,56,0,0,0,1
African-American,39,1,0,0,1
African-American,29,5,0,1,0
Caucasian,27,1,0,1,0
African-American,40,2,0,1,1
African-American,22,1,0,0,0
Caucasian,22,0,0,1,1
African-American,26,1,0,1,0
Caucasian,27,1,0,1,0
African-American,32,0,0,1,1
African-American,41,1,0,0,1
African-American,30,8,0,0,0
African-American,25,14,1,1,0
African-American,22,2,1,1,0
African-American,23,2,0,0,0
African-American,35,1,0,0,1
African-American,36,9,0,1,0
Caucasian,26,7,0,1,0
Caucasian,25,9,0,1,0
African-American,71,12,0,0,1
Caucasian,20,0,0,1,1
Caucasian,39,2,0,1,0
Caucasian,66,3,0,1,1
Caucasian,54,0,0,0,1
African-American,19,1,0,0,0
African-American,24,1,0,1,1
African-American,30,1,0,1,1
Caucasian,39,0,0,1,0
Caucasian,24,8,0,1,0
Caucasian,30,0,0,1,1
Caucasian,31,0,0,0,1
Caucasian,39,1,0,1,1
African-American,59,14,0,1,0
Caucasian,43,1,0,1,1
African-American,21,3,0,1,0
Caucasian,38,5,0,0,0
Caucasian,34,0,0,1,1
African-American,33,5,0,1,0
African-American,37,3,0,1,1
Caucasian,42,1,0,1,0
African-American,41,10,0,1,0
African-American,22,0,0,1,0
African-American,33,28,0,1,0
African-American,31,1,0,0,1
Caucasian,31,13,0,1,0
African-American,27,3,0,1,0
African-American,56,8,0,1,1
Caucasian,52,3,0,0,1
African-American,33,19,0,1,0
Caucasian,64,2,0,0,1
Caucasian,22,4,0,1,0
Caucasian,42,6,0,1,1
Caucasian,25,2,0,1,1
Caucasian,30,1,0,0,1
Caucasian,28,2,0,1,1
Caucasian,28,0,0,0,0
African-American,24,0,0,0,1
Caucasian,29,10,0,1,0
Caucasian,44,2,0,0,0
African-American,32,3,0,1,0
Caucasian,31,2,0,0,0
African-American,31,1,0,0,1
Caucasian,59,1,0,1,0
Caucasian,45,4,0,1,1
African-American,20,1,1,1,1
Caucasian,43,0,0,0,1
African-American,38,9,1,1,0
African-American,32,11,0,1,0
African-American,33,8,0,0,0
African-American,31,0,0,1,0
